FID,XY,XY_ORG,LOCATIE_CODE,CREATED_BY,CREATED_DATE
locaties.2138,POINT (620468.806442862 5752213.565336),POINT (11124000 43565000),STREEFKK,HWS_DONAR_SGG,2021-03-11T15:59:30.435
locaties.2139,POINT (617656.25289399 5763225.50207086),POINT (10879000 44675000),GOUDHNPSS,HWS_DONAR_SGG,2021-03-11T16:00:01.287
locaties.2140,POINT (617472.951730359 5763019.4026449),POINT (10860000 44655000),GOUDA,HWS_DONAR_SGG,2021-03-11T16:00:06.915
locaties.2141,POINT (622981.645000774 5742091.99582773),POINT (11342000 42545000),SLIEDT,HWS_DONAR_SGG,2021-03-11T16:00:52.589
locaties.2142,POINT (586416.716550755 5738822.52932665),POINT (7676000 42338000),ZUIDOD,HWS_DONAR_SGG,2021-03-11T16:00:58.203
locaties.2143,POINT (606962.047312289 5813641.93165918),POINT (9976000 49750000),IJMDSMFR,HWS_DONAR_SGG,2021-03-11T16:01:10.404
locaties.2144,POINT (586751.829338769 5706895.21378982),POINT (7605000 39145000),BERGOZND,HWS_DONAR_SGG,2021-03-11T16:01:17.302
locaties.2145,POINT (590868.969646736 5723984.32026965),POINT (8072500 40840000),GALTHVN,HWS_DONAR_SGG,2021-03-11T16:03:40.545
locaties.2146,POINT (548232.206769395 5718817.25381157),POINT (3792800 40463000),ROOMPBKN,HWS_DONAR_SGG,2021-03-11T16:04:12.18
locaties.2147,POINT (550654.821215079 5722229.13115883),POINT (4046200 40796200),BINNSR,HWS_DONAR_SGG,2021-03-11T16:04:18.78
